_c0,loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,enrollment_type,cancellation_year,cancellation_month,salary_group
5937,782606,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,61294.0,Married,Nova,Standard,,,Medium
6027,451042,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,50085.0,Married,Nova,Standard,2016.0,,Medium
6259,800571,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,72667.0,Married,Nova,Standard,,,High
6696,200960,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,50134.0,Married,Nova,Standard,,,Medium
6951,252165,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,97030.0,Divorced,Nova,Standard,2016.0,,High
7389,327910,Canada,Alberta,Calgary,T3E 2V9,Male,Bachelor,83889.0,Married,Nova,Standard,,,High
7465,771667,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,48899.0,Married,Nova,Standard,,,Low
7504,434657,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,64489.0,Married,Nova,Standard,2018.0,,Medium
8027,776782,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,44837.0,Married,Nova,Standard,,,Low
8180,549540,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,77331.0,Married,Nova,Standard,,,High
8243,519677,Canada,Ontario,Toronto,P1L 8X8,Male,Bachelor,100868.0,Married,Nova,Standard,,,High
8483,969342,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,88693.0,Married,Nova,Standard,,,High
8610,115633,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,80218.0,Married,Nova,Standard,,,High
8627,765202,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,55271.0,Married,Nova,Standard,,,Medium
9324,137646,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,47424.0,Married,Nova,Standard,,,Low
9533,865198,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,83666.0,Married,Nova,Standard,,,High
10509,258088,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,92075.0,Divorced,Star,Standard,,,High
10525,257579,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,66388.0,Single,Star,Standard,,,Medium
10648,329162,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,87842.0,Single,Star,Standard,,,High
10687,909503,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,88978.0,Single,Star,Standard,,,High
10930,794723,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,47717.0,Divorced,Star,Standard,,,Low
11533,644163,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,52928.0,Married,Star,Standard,,,Medium
11554,780140,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,71772.0,Married,Star,Standard,,10.0,High
11898,714939,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,96350.0,Married,Star,Standard,,,High
12115,346163,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,57159.0,Divorced,Star,Standard,,,Medium
12741,433946,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,87262.0,Married,Star,Standard,,,High
12912,430221,Canada,Manitoba,Winnipeg,R3R 3T4,Male,Bachelor,90071.0,Divorced,Star,Standard,,,High
13050,755276,Canada,Alberta,Banff,T4V 1D4,Female,Master,105231.0,Divorced,Star,Standard,,,High
13172,608601,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,85221.0,Divorced,Star,Standard,2018.0,,High
13318,366932,Canada,Ontario,Sudbury,M5V 1G5,Female,Master,70615.0,Married,Star,Standard,,,High
13355,488224,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Doctor,210090.0,Divorced,Star,Standard,2013.0,,High
14135,290507,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,69917.0,Married,Star,Standard,,,Medium
14202,528173,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,57150.0,Single,Star,Standard,,,Medium
14710,209831,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,57398.0,Married,Star,Standard,,,Medium
14960,408651,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,81771.0,Married,Star,Standard,,,High
15025,377050,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,94455.0,Married,Star,Standard,,,High
15125,437086,Canada,Quebec,Tremblant,H5Y 2S9,Male,Doctor,250253.0,Divorced,Star,Standard,,,High
15904,764513,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,85364.0,Married,Star,Standard,,,High
15923,599778,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,44642.0,Single,Star,2018 Promotion,,,Low
15936,925164,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,72202.0,Single,Star,Standard,,,High
16002,294048,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,68599.0,Married,Star,Standard,,,Medium
16463,317774,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,82651.0,Married,Star,Standard,,,High
16477,207543,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,77565.0,Married,Star,Standard,,,High
16652,662406,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98771.0,Married,Star,Standard,,,High
16697,954587,Canada,British Columbia,Whistler,V6T 1Y8,Male,High School or Below,66275.0,Married,Star,Standard,,,Medium
32,403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,Standard,,,High
117,485283,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479.0,Single,Star,Standard,,,High
253,217695,Canada,Ontario,Trenton,K8V 4B2,Male,Master,114551.0,Single,Star,Standard,,,High
496,873180,Canada,British Columbia,Vancouver,V6E 3D9,Male,Doctor,64828.0,Married,Star,Standard,2018.0,,Medium
784,618309,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,78749.0,Single,Aurora,Standard,,,High
910,330464,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,100510.0,Divorced,Aurora,Standard,,,High
1079,937071,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,48295.0,Married,Star,2018 Promotion,,,Low
1218,912757,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,69184.0,Divorced,Aurora,Standard,,,Medium
1301,576498,Canada,Quebec,Quebec City,G1B 3L5,Male,High School or Below,57844.0,Married,Aurora,Standard,,,Medium
1772,502023,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,73082.0,Married,Aurora,Standard,,,High
2542,840515,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,49224.0,Married,Aurora,Standard,,,Low
3577,611084,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54756.0,Married,Aurora,Standard,,,Medium
3610,967637,Canada,Ontario,London,M5B 3E4,Male,Bachelor,58716.0,Married,Aurora,Standard,,,Medium
3984,790008,Canada,Quebec,Montreal,H2T 2J6,Male,Doctor,154475.0,Married,Aurora,Standard,,,High
4219,357903,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,84838.0,Single,Nova,Standard,,,High
4290,525525,Canada,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,94801.0,Divorced,Nova,Standard,,,High
4331,853421,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,84836.0,Married,Nova,Standard,,,High
4817,922000,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,52461.0,Single,Nova,Standard,,,Medium
4881,937862,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,92826.0,Married,Nova,Standard,,,High
4964,638740,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,90298.0,Divorced,Nova,Standard,,,High
4972,885739,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Doctor,267656.0,Married,Nova,Standard,,,High
5024,495148,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,95341.0,Single,Nova,Standard,,,High
5193,854704,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,74756.0,Married,Nova,Standard,,,High
5782,750578,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,213105.0,Married,Nova,Standard,,,High
6091,360472,Canada,Quebec,Montreal,H2Y 2W2,Female,Master,105231.0,Divorced,Nova,Standard,,,High
6133,726139,Canada,Alberta,Calgary,T3E 2V9,Male,Bachelor,51359.0,Married,Nova,Standard,,,Medium
6342,466754,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,57117.0,Married,Nova,Standard,,,Medium
6351,967150,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,89521.0,Married,Nova,Standard,,,High
6437,921130,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,44092.0,Single,Nova,Standard,,,Low
6880,179075,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,72031.0,Single,Nova,Standard,,,High
7038,660457,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,95040.0,Divorced,Nova,Standard,,,High
7066,708566,Canada,British Columbia,Victoria,V10 6T5,Female,High School or Below,71108.0,Single,Nova,Standard,,,High
8383,846125,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,70384.0,Single,Nova,Standard,,,High
8759,833233,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,69183.0,Single,Nova,Standard,,,Medium
9010,740025,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,61813.0,Married,Nova,Standard,,,Medium
9156,626068,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,88320.0,Married,Nova,Standard,,,High
10221,932513,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,65760.0,Single,Star,Standard,,,Medium
10429,963921,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,49768.0,Married,Star,Standard,,,Low
10535,639807,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,67609.0,Married,Star,Standard,,,Medium
10549,410552,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,70532.0,Married,Star,Standard,,,High
10932,460349,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,100694.0,Single,Star,Standard,,,High
11018,129533,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,59926.0,Married,Star,2018 Promotion,,,Medium
12200,470323,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,76256.0,Married,Star,Standard,,,High
12227,919463,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,37850.0,Married,Star,2018 Promotion,,,Low
12286,762355,Canada,Ontario,Toronto,P1W 1K4,Female,High School or Below,62283.0,Married,Star,Standard,,,Medium
12299,484317,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,51579.0,Married,Star,Standard,,,Medium
12436,898787,Canada,Quebec,Montreal,H3T 8L4,Female,Bachelor,101352.0,Married,Star,Standard,,,High
12800,178036,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,65848.0,Married,Star,Standard,,,Medium
13314,819448,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,91721.0,Single,Star,Standard,,,High
13617,614350,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,75520.0,Married,Star,Standard,,,High
14110,906178,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,66467.0,Married,Star,Standard,,,Medium
14375,857914,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,81325.0,Married,Star,Standard,,,High
14846,855981,Canada,Ontario,Trenton,K8V 4B2,Male,Doctor,221274.0,Divorced,Star,Standard,,,High
15471,424100,Canada,Alberta,Calgary,T3E 2V9,Male,Bachelor,66498.0,Married,Star,Standard,,,Medium
15724,733497,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,75537.0,Divorced,Star,2018 Promotion,,,High
15983,512615,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,55583.0,Married,Star,Standard,,,Medium
16084,167879,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,48014.0,Married,Star,Standard,,,Low
16086,795468,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,62225.0,Married,Star,Standard,,,Medium
16243,922210,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,76590.0,Married,Star,Standard,,,High
16372,942601,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,99788.0,Married,Star,Standard,,,High
16394,328303,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,74580.0,Married,Star,Standard,,,High
16476,507514,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,70684.0,Married,Star,Standard,,,High
16594,475009,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,56644.0,Divorced,Star,Standard,2013.0,,Medium
16679,842582,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,46607.0,Married,Star,Standard,,,Low
632,814653,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,59278.0,Married,Star,Standard,,,Medium
1186,910157,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,82262.0,Married,Aurora,Standard,,,High
1267,189666,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,81518.0,Divorced,Aurora,Standard,,,High
2090,789148,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,49188.0,Married,Aurora,Standard,,,Low
2224,495403,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,54105.0,Married,Nova,2018 Promotion,,,Medium
2354,702884,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,79817.0,Married,Aurora,Standard,,,High
2713,840120,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,80153.0,Married,Aurora,Standard,,,High
2776,416575,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,92396.0,Married,Aurora,Standard,,,High
2905,152007,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,83448.0,Married,Aurora,Standard,2018.0,,High
3653,884570,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,58509.0,Married,Aurora,Standard,2017.0,,Medium
3657,998085,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,64763.0,Married,Aurora,Standard,,,Medium
3673,493819,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,97770.0,Single,Aurora,Standard,,,High
3876,488647,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,91037.0,Married,Aurora,Standard,,,High
4189,823663,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,86991.0,Married,Nova,Standard,,,High
4357,648231,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,49632.0,Divorced,Nova,Standard,,,Low
4512,531619,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,73442.0,Married,Nova,Standard,,,High
4773,429354,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,88606.0,Married,Nova,Standard,,,High
5726,986551,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,95467.0,Married,Nova,Standard,,,High
6247,926250,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,89566.0,Divorced,Nova,Standard,,,High
6260,315848,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,47237.0,Single,Nova,Standard,,,Low
6482,148216,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,61070.0,Divorced,Nova,Standard,,,Medium
6486,495942,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,60228.0,Married,Nova,Standard,,,Medium
6657,981201,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,50770.0,Divorced,Nova,Standard,,,Medium
7778,754517,Canada,Ontario,Ottawa,K1F 2R2,Female,High School or Below,67814.0,Married,Nova,Standard,,,Medium
8150,937849,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,104201.0,Married,Nova,Standard,2017.0,,High
8496,819497,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,51189.0,Divorced,Nova,Standard,,,Medium
8511,280602,Canada,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,82444.0,Married,Nova,Standard,2015.0,,High
8868,919437,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,62415.0,Single,Nova,Standard,,,Medium
9044,427358,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,87853.0,Single,Nova,Standard,2018.0,,High
9067,551296,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,85211.0,Married,Nova,Standard,,,High
9157,217401,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,81393.0,Married,Nova,Standard,2018.0,,High
9649,116238,Canada,Saskatchewan,Regina,S1J 3C5,Male,Master,81765.0,Single,Nova,Standard,,,High
9748,965751,Canada,Ontario,Toronto,M2M 6J7,Female,Bachelor,56193.0,Divorced,Nova,Standard,,,Medium
9771,989406,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,66530.0,Single,Nova,2018 Promotion,,,Medium
10204,475930,Canada,Quebec,Montreal,H2T 9K8,Female,Doctor,171815.0,Divorced,Star,Standard,2018.0,,High
10607,457716,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,64729.0,Married,Star,Standard,,,Medium
10842,581661,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,64001.0,Single,Star,Standard,,,Medium
10920,584845,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,59575.0,Married,Star,Standard,,,Medium
11305,516301,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,59035.0,Married,Star,Standard,,,Medium
11593,571643,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,92064.0,Married,Star,Standard,,,High
11817,388156,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,69803.0,Divorced,Star,Standard,,,Medium
11995,940200,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,76121.0,Married,Star,2018 Promotion,,,High
12123,457489,Canada,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,58766.0,Married,Star,Standard,,,Medium
12125,340307,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,66046.0,Single,Star,Standard,,,Medium
12149,287097,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,82234.0,Married,Star,Standard,,,High
12151,198645,Canada,Ontario,Toronto,P1L 8X8,Male,Bachelor,83332.0,Married,Star,Standard,,,High
12429,346554,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,101352.0,Married,Star,Standard,,,High
12536,309408,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,86793.0,Divorced,Star,Standard,,,High
12665,602068,Canada,Ontario,Toronto,P2T 6G3,Male,Doctor,99696.0,Married,Star,Standard,2018.0,,High
13012,361892,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,83189.0,Married,Star,Standard,,,High
13289,934280,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,67445.0,Single,Star,Standard,,,Medium
13339,474921,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,69708.0,Married,Star,Standard,,,Medium
13434,118076,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,98844.0,Divorced,Star,Standard,,,High
13438,163083,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,57622.0,Married,Star,Standard,,,Medium
13727,290902,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,76300.0,Married,Star,Standard,,,High
13806,391542,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,74293.0,Single,Star,Standard,,,High
14249,911003,Canada,Ontario,Toronto,P1L 8X8,Male,High School or Below,46318.0,Single,Star,Standard,,,Low
14601,341725,Canada,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,83322.0,Married,Star,Standard,,,High
14636,692685,Canada,Ontario,Toronto,P1W 1K4,Male,Bachelor,62243.0,Single,Star,Standard,,,Medium
14690,837733,Canada,Newfoundland,St. John's,A1C 6H9,Male,High School or Below,53194.0,Divorced,Star,Standard,,,Medium
14762,985341,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,74690.0,Married,Star,Standard,,,High
15166,958687,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,66730.0,Married,Star,Standard,,,Medium
15512,927848,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,53496.0,Single,Star,Standard,,,Medium
16065,166825,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,95097.0,Married,Star,Standard,,2.0,High
16407,588015,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,54250.0,Married,Star,Standard,,,Medium
16456,176142,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,61999.0,Married,Nova,2018 Promotion,2018.0,,Medium
16599,508488,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,88187.0,Married,Star,Standard,,,High
422,361816,Canada,British Columbia,Victoria,V10 6T5,Female,High School or Below,65673.0,Single,Star,Standard,,,Medium
457,518533,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,59369.0,Married,Star,Standard,,,Medium
587,244032,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,88871.0,Married,Star,Standard,,,High
625,405597,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,47774.0,Single,Star,Standard,,,Low
692,957127,Canada,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,55983.0,Married,Star,Standard,,,Medium
715,528074,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,103558.0,Single,Star,Standard,,,High
1039,188668,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,55590.0,Married,Aurora,Standard,,,Medium
1049,896792,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,94657.0,Married,Aurora,Standard,,,High
1254,231047,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,58314.0,Single,Aurora,Standard,,,Medium
1485,561621,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,48050.0,Married,Aurora,Standard,,,Low
1541,390434,Canada,Ontario,Toronto,M2Z 4K1,Female,High School or Below,78937.0,Married,Aurora,Standard,,,High
1562,488268,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,68157.0,Single,Aurora,Standard,,,Medium
1672,489501,Canada,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,80895.0,Married,Aurora,Standard,2017.0,,High
1748,637396,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,70654.0,Single,Aurora,Standard,,,High
1751,616183,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,58293.0,Married,Aurora,Standard,2017.0,,Medium
2053,823319,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,56119.0,Married,Aurora,Standard,,,Medium
2233,173938,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,97796.0,Married,Aurora,Standard,,,High
2411,457535,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,83723.0,Married,Aurora,Standard,,,High
2478,995662,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,61649.0,Married,Aurora,Standard,,,Medium
2645,680553,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,104938.0,Married,Aurora,Standard,2015.0,,High
2822,833052,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,84226.0,Married,Aurora,Standard,,,High
2957,123420,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,70946.0,Married,Aurora,Standard,,,High
3101,251874,Canada,Ontario,Toronto,M2M 7K8,Female,High School or Below,54390.0,Married,Aurora,Standard,,,Medium
3741,731286,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,94987.0,Single,Aurora,Standard,,,High
4049,939399,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,83036.0,Married,Aurora,Standard,,11.0,High
4055,562510,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,74745.0,Married,Aurora,Standard,2017.0,,High
4423,562358,Canada,Ontario,London,M5B 3E4,Male,Bachelor,51943.0,Married,Nova,Standard,,,Medium
4882,488071,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,77914.0,Divorced,Nova,Standard,,,High
5214,937484,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,85949.0,Single,Nova,Standard,2018.0,,High
5349,492789,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,55303.0,Married,Nova,Standard,,,Medium
5658,275762,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,58779.0,Married,Nova,Standard,,,Medium
5870,884654,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,58505.0,Married,Nova,Standard,,,Medium
6235,360732,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,83431.0,Married,Nova,Standard,,,High
6592,764889,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,72019.0,Single,Nova,Standard,,,High
6784,618731,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,86067.0,Single,Nova,Standard,,,High
6908,834799,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,51699.0,Married,Nova,Standard,,,Medium
7031,770727,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,88160.0,Married,Nova,Standard,2018.0,,High
7135,667041,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,98334.0,Married,Nova,Standard,,,High
7481,640555,Canada,British Columbia,Victoria,V10 6T5,Female,Bachelor,99537.0,Married,Nova,Standard,,,High
7848,546171,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,68048.0,Married,Nova,Standard,2015.0,,Medium
8117,759322,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,50930.0,Married,Nova,Standard,,,Medium
8408,122561,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,97537.0,Divorced,Nova,Standard,,,High
8731,554155,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,76706.0,Single,Nova,Standard,,,High
9134,124088,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,75231.0,Single,Nova,Standard,,,High
9172,784782,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,101946.0,Married,Nova,Standard,,,High
9571,254361,Canada,British Columbia,Kelowna,V09 2E9,Female,Bachelor,61506.0,Married,Nova,Standard,,,Medium
9629,158969,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,56046.0,Married,Nova,Standard,,,Medium
11629,834120,Canada,Alberta,Banff,T4V 1D4,Female,Bachelor,55849.0,Divorced,Star,Standard,,,Medium
11947,802206,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,52327.0,Divorced,Star,Standard,,,Medium
11968,853603,Canada,Ontario,Toronto,M2M 6J7,Male,Bachelor,61302.0,Divorced,Star,Standard,,,Medium
12281,107835,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,50363.0,Single,Star,Standard,,,Medium
12787,641869,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,59567.0,Divorced,Star,Standard,,,Medium
13239,473144,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,87259.0,Divorced,Star,Standard,,,High
13629,517405,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,72409.0,Married,Star,Standard,,,High
14250,972671,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,46318.0,Single,Star,Standard,2017.0,,Low
14373,122456,Canada,Alberta,Calgary,T3E 2V9,Male,Bachelor,102601.0,Married,Star,Standard,,,High
15126,579318,Canada,British Columbia,Victoria,V10 6T5,Male,Doctor,250253.0,Divorced,Star,Standard,,,High
